pf,N,m,T,sigma,cut,F-CS,F-kolafa,F-thol,F-mecke,F-gottschalk,F-hess,RDF_CS,RDF_LJ
3.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.931e+00,1.629e+00,1.772e+00,1.787e+00,1.688e+00,1.180e+00,2.478e+00,1.354e+00
1.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.051e+00,1.087e+00,1.102e+00,1.097e+00,1.109e+00,1.033e+00,1.303e+00,9.601e-01
3.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.904e+00,1.608e+00,1.753e+00,1.766e+00,1.690e+00,1.154e+00,2.478e+00,1.371e+00
1.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,1.041e+00,1.063e+00,1.082e+00,1.078e+00,1.089e+00,1.011e+00,1.303e+00,9.733e-01
3.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,1.878e+00,1.589e+00,1.735e+00,1.746e+00,1.687e+00,1.131e+00,2.478e+00,1.386e+00
1.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,1.032e+00,1.043e+00,1.065e+00,1.061e+00,1.071e+00,9.917e-01,1.303e+00,9.854e-01
3.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,1.854e+00,1.572e+00,1.717e+00,1.728e+00,1.680e+00,1.111e+00,2.478e+00,1.399e+00
1.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,1.023e+00,1.024e+00,1.049e+00,1.046e+00,1.056e+00,9.743e-01,1.303e+00,9.964e-01
3.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,1.830e+00,1.556e+00,1.701e+00,1.710e+00,1.670e+00,1.093e+00,2.478e+00,1.411e+00
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.015e+00,1.007e+00,1.036e+00,1.033e+00,1.042e+00,9.587e-01,1.303e+00,1.006e+00
3.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.808e+00,1.541e+00,1.685e+00,1.694e+00,1.660e+00,1.077e+00,2.478e+00,1.422e+00
1.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,1.007e+00,9.921e-01,1.023e+00,1.020e+00,1.029e+00,9.447e-01,1.303e+00,1.016e+00
3.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,1.787e+00,1.527e+00,1.669e+00,1.678e+00,1.649e+00,1.063e+00,2.478e+00,1.432e+00
1.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,9.992e-01,9.781e-01,1.012e+00,1.009e+00,1.018e+00,9.319e-01,1.303e+00,1.024e+00
3.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,1.767e+00,1.513e+00,1.654e+00,1.663e+00,1.637e+00,1.049e+00,2.478e+00,1.441e+00
1.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,9.917e-01,9.653e-01,1.002e+00,9.994e-01,1.007e+00,9.203e-01,1.303e+00,1.032e+00
3.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,1.747e+00,1.501e+00,1.640e+00,1.648e+00,1.625e+00,1.037e+00,2.478e+00,1.449e+00
1.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,9.844e-01,9.533e-01,9.921e-01,9.902e-01,9.974e-01,9.096e-01,1.303e+00,1.039e+00
3.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,1.728e+00,1.488e+00,1.626e+00,1.634e+00,1.614e+00,1.026e+00,2.478e+00,1.457e+00
1.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,9.775e-01,9.422e-01,9.833e-01,9.816e-01,9.884e-01,8.998e-01,1.303e+00,1.046e+00
3.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,1.711e+00,1.477e+00,1.613e+00,1.621e+00,1.602e+00,1.016e+00,2.478e+00,1.463e+00
1.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,9.707e-01,9.318e-01,9.751e-01,9.736e-01,9.799e-01,8.906e-01,1.303e+00,1.052e+00
3.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.693e+00,1.466e+00,1.600e+00,1.608e+00,1.591e+00,1.007e+00,2.478e+00,1.469e+00
1.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,9.642e-01,9.220e-01,9.674e-01,9.661e-01,9.721e-01,8.822e-01,1.303e+00,1.057e+00
3.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,1.677e+00,1.455e+00,1.588e+00,1.595e+00,1.579e+00,9.977e-01,2.478e+00,1.475e+00
1.000e-01,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,9.579e-01,9.127e-01,9.602e-01,9.590e-01,9.647e-01,8.743e-01,1.303e+00,1.062e+00
3.000e-01,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,1.661e+00,1.444e+00,1.576e+00,1.583e+00,1.568e+00,9.894e-01,2.478e+00,1.480e+00
1.000e-01,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,9.517e-01,9.039e-01,9.533e-01,9.523e-01,9.577e-01,8.669e-01,1.303e+00,1.067e+00
3.000e-01,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,1.645e+00,1.434e+00,1.564e+00,1.571e+00,1.557e+00,9.817e-01,2.478e+00,1.484e+00
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,9.458e-01,8.956e-01,9.468e-01,9.460e-01,9.510e-01,8.599e-01,1.303e+00,1.071e+00
3.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.630e+00,1.424e+00,1.552e+00,1.560e+00,1.547e+00,9.744e-01,2.478e+00,1.488e+00
1.000e-01,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,9.400e-01,8.877e-01,9.407e-01,9.400e-01,9.448e-01,8.534e-01,1.303e+00,1.075e+00
3.000e-01,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,1.616e+00,1.415e+00,1.541e+00,1.548e+00,1.537e+00,9.675e-01,2.478e+00,1.491e+00
1.000e-01,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,9.344e-01,8.801e-01,9.348e-01,9.343e-01,9.388e-01,8.472e-01,1.303e+00,1.079e+00
3.000e-01,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,1.602e+00,1.406e+00,1.531e+00,1.538e+00,1.527e+00,9.610e-01,2.478e+00,1.494e+00
1.000e-01,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,9.290e-01,8.729e-01,9.292e-01,9.288e-01,9.330e-01,8.413e-01,1.303e+00,1.082e+00
3.000e-01,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,1.589e+00,1.397e+00,1.520e+00,1.527e+00,1.517e+00,9.549e-01,2.478e+00,1.497e+00
1.000e-01,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,9.237e-01,8.659e-01,9.238e-01,9.236e-01,9.276e-01,8.358e-01,1.303e+00,1.085e+00
3.000e-01,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,1.576e+00,1.388e+00,1.510e+00,1.517e+00,1.507e+00,9.490e-01,2.478e+00,1.500e+00
1.000e-01,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,9.185e-01,8.593e-01,9.187e-01,9.185e-01,9.223e-01,8.305e-01,1.303e+00,1.088e+00
3.000e-01,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,1.563e+00,1.379e+00,1.500e+00,1.507e+00,1.498e+00,9.434e-01,2.478e+00,1.502e+00
